2026-01-28 12:20:44 | DEBUG   | ldc | move info: 8.0 , -6.933333333333394
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 10.133333333333395 , -4.266666666666606
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 13.333333333333304 , -1.6
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 17.0666666666667 , 0.0
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 18.133333333333304 , 0.0
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 12.8 , 2.133333333333212
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 6.4 , 8.0
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 3.733333333333303 , 9.600000000000001
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 2.133333333333394 , 9.600000000000001
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 1.066666666666606 , 8.0
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 1.066666666666697 , 7.4666666666667885
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 0.533333333333303 , 6.4
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:20:44 | DEBUG   | ldc | move info: 0.0 , 6.4
2026-01-28 12:20:44 | DEBUG   | ldc | move_rel clicked
